prov_persona_en_situacion_violencia,edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_con_la_persona_agresora
0,52.0,1,1,0,0,0,1,5
20,35.0,0,0,1,0,0,0,6
13,21.0,1,1,0,0,0,1,2
0,12.0,0,0,1,0,0,1,4
4,15.0,1,1,0,0,0,1,5
4,35.0,1,1,0,1,0,1,0
4,37.0,1,1,0,1,0,1,0
4,48.0,1,1,0,0,0,1,5
0,48.0,0,0,0,0,0,1,0
4,52.0,0,0,0,0,1,0,2
4,60.0,1,1,1,1,0,1,0
0,37.0,1,1,1,0,1,1,5
0,47.0,0,0,0,0,1,1,0
0,38.0,1,1,0,0,1,1,5
0,31.0,1,1,0,1,1,1,0
0,31.0,0,0,0,1,0,1,5
0,25.0,0,0,0,1,1,1,0
0,25.0,0,0,0,0,1,1,5
0,62.0,1,1,0,1,1,1,5
0,32.0,0,0,0,1,1,1,5
0,56.0,1,1,0,0,1,1,5
0,52.0,1,1,0,0,1,1,0
0,36.0,1,1,0,0,1,1,5
0,37.0,0,0,0,0,1,1,0
0,37.0,0,0,0,0,1,1,0
0,29.0,1,1,1,0,1,1,0
0,43.0,1,1,0,1,1,1,5
14,46.0,1,1,0,0,0,1,0
12,24.0,1,1,0,0,0,1,0
7,30.0,1,1,0,0,0,1,5
0,64.0,0,0,0,1,0,1,5
16,25.0,1,1,0,1,0,1,0
0,35.0,1,1,0,1,1,1,0
20,25.0,1,1,0,1,1,1,5
0,34.0,1,1,1,1,0,1,0
12,29.0,0,0,0,1,0,1,5
0,35.0,0,0,0,0,0,1,0
0,27.0,1,1,0,0,0,1,0
0,16.0,0,0,1,0,0,1,0
12,29.0,0,0,0,0,0,1,0
7,29.0,1,1,0,0,0,1,5
0,33.0,0,0,0,1,0,1,0
6,50.0,1,1,0,0,0,1,5
20,25.0,1,1,0,1,1,1,0
20,27.0,1,1,0,1,0,1,0
14,32.0,1,1,0,0,0,1,0
0,48.0,0,0,0,1,0,1,5
4,21.0,1,1,0,0,0,0,2
4,23.0,1,1,0,0,0,1,0
4,24.0,1,1,0,1,0,1,5
4,25.0,0,0,0,0,0,1,0
4,29.0,0,0,1,0,1,0,2
4,32.0,0,0,0,1,0,1,0
4,35.0,0,0,0,1,0,1,5
4,39.0,1,1,0,1,0,1,5
0,40.0,0,0,0,0,1,1,5
4,40.0,0,0,0,1,1,1,5
4,41.0,1,1,0,1,1,1,5
4,42.0,0,0,0,0,0,1,0
4,42.0,0,0,0,1,0,1,0
4,43.0,0,0,0,1,0,1,0
4,55.0,0,0,0,0,1,1,4
0,34.0,1,1,0,1,1,1,5
0,37.0,1,1,0,1,1,1,0
0,36.0,0,0,0,0,1,1,0
0,43.0,0,0,0,1,1,1,0
0,30.0,0,0,0,1,0,1,0
0,32.0,0,0,0,1,1,1,0
0,34.0,0,0,0,1,1,1,0
0,29.0,0,0,0,1,1,1,0
0,23.0,1,1,1,0,0,1,0
0,24.0,0,0,0,1,1,1,0
0,39.0,0,0,0,1,1,1,0
0,48.0,1,1,0,1,1,1,5
0,29.0,1,1,0,0,1,1,0
0,29.0,1,1,1,1,1,1,5
0,55.0,1,1,0,0,1,1,3
0,29.0,1,1,0,1,1,1,0
13,48.0,0,0,0,1,1,1,0
6,46.0,1,1,1,1,0,1,0
0,38.0,1,1,0,0,0,1,0
0,25.0,0,0,0,0,0,1,0
0,26.0,1,1,0,1,1,1,5
6,27.0,1,1,1,1,1,1,5
16,29.0,1,1,0,0,0,1,0
0,23.0,0,0,0,0,0,1,0
18,23.0,0,0,0,0,1,1,5
23,46.0,1,1,0,1,0,1,5
18,46.0,1,1,0,0,0,1,3
0,38.0,1,1,0,1,1,1,5
0,53.0,0,0,0,1,0,1,0
0,29.0,1,1,0,1,0,1,0
23,43.0,1,1,0,1,0,1,0
23,38.0,1,1,0,1,0,1,0
21,33.0,0,0,0,0,0,1,0
4,23.0,0,0,1,1,0,0,2
4,29.0,1,1,0,0,0,1,0
0,31.0,0,0,0,1,0,1,0
4,33.0,0,0,0,0,0,1,5
4,34.0,1,1,0,1,0,1,0
4,41.0,1,1,0,0,1,1,5
4,41.0,0,0,0,1,0,1,0
4,41.0,0,0,1,0,0,0,2
4,43.0,1,1,0,0,0,1,5
4,44.0,1,1,0,1,0,1,0
0,32.0,1,1,0,0,1,1,0
0,36.0,0,0,0,1,1,1,0
0,37.0,1,1,1,1,1,1,0
0,55.0,1,1,1,0,1,1,5
0,18.0,1,1,0,1,1,1,0
0,22.0,0,0,0,0,1,0,2
0,22.0,0,0,1,0,0,1,0
0,35.0,0,0,0,0,0,1,0
0,35.0,1,1,0,0,0,1,0
0,30.0,1,1,0,0,1,1,0
0,45.0,0,0,0,0,1,1,5
0,39.0,1,1,0,0,0,1,5
0,39.0,0,0,0,0,1,1,0
0,32.0,1,1,1,0,1,1,0
0,27.0,1,1,0,1,1,1,0
0,26.0,1,1,1,1,1,1,0
0,55.0,0,0,0,0,1,1,5
0,30.0,0,0,0,0,1,1,0
23,19.0,1,1,0,0,1,1,0
0,23.0,1,1,1,1,0,1,5
0,24.0,1,1,0,1,1,1,5
0,25.0,1,1,0,1,0,1,0
0,34.0,1,1,0,1,1,1,5
