edad_persona_en_situacion_de_violencia,tipo_de_violencia_fisica,tipo_de_violencia_psicologica,tipo_de_violencia_sexual,tipo_de_violencia_economica_y_patrimonial,tipo_de_violencia_simbolica,tipo_de_violencia_domestica,vinculo_Ex pareja,vinculo_Madre o tutor,vinculo_Otro,vinculo_Otro familiar,vinculo_Padre o tutor,vinculo_Pareja,vinculo_Superior jerarquico
0.23728813559322032,1,1,1,0,0,0,0,0,1,0,0,0,0
0.6949152542372882,1,1,0,0,1,1,0,0,0,0,0,1,0
0.3898305084745763,0,0,0,0,1,1,0,0,0,0,0,1,0
0.4915254237288136,0,0,0,0,0,1,1,0,0,0,0,0,0
0.559322033898305,1,1,0,1,0,1,1,0,0,0,0,0,0
0.8813559322033898,1,1,0,1,0,1,0,0,0,0,0,1,0
0.576271186440678,1,1,1,1,1,1,1,0,0,0,0,0,0
0.3220338983050848,1,1,1,1,0,1,0,0,0,0,0,1,0
0.288135593220339,1,1,0,1,0,1,0,0,0,0,0,1,0
0.7966101694915254,1,1,0,0,0,1,0,0,0,0,0,1,0
0.3559322033898305,1,1,0,1,0,1,0,0,0,0,0,1,0
0.6101694915254238,1,1,0,1,0,1,0,0,0,0,0,1,0
0.6610169491525424,0,0,1,0,1,1,1,0,0,0,0,0,0
0.6610169491525424,1,1,0,0,0,1,0,0,1,0,0,0,0
0.5932203389830508,0,0,0,0,0,0,0,0,1,0,0,0,0
0.4915254237288136,1,1,0,0,1,1,0,0,0,0,0,1,0
0.3728813559322034,1,1,0,0,0,1,1,0,0,0,0,0,0
0.3220338983050848,0,0,0,0,0,1,1,0,0,0,0,0,0
0.6271186440677966,1,1,0,0,0,1,0,0,0,0,0,1,0
0.3389830508474576,1,1,0,0,0,1,0,0,0,0,0,1,0
0.7457627118644068,1,1,0,0,0,1,0,0,0,0,0,1,0
0.1694915254237288,1,1,0,0,0,1,1,0,0,0,0,0,0
0.3050847457627119,1,1,0,1,0,1,0,0,0,0,0,1,0
0.7457627118644068,0,0,0,1,0,1,1,0,0,0,0,0,0
0.559322033898305,1,1,0,0,0,1,1,0,0,0,0,0,0
0.3559322033898305,1,1,1,1,0,1,1,0,0,0,0,0,0
0.2542372881355932,0,0,0,0,0,1,1,0,0,0,0,0,0
0.0,1,1,1,0,0,1,0,0,0,0,1,0,0
0.288135593220339,1,1,1,1,0,1,0,0,0,0,0,1,0
0.4067796610169492,1,1,0,1,0,1,0,0,0,0,0,1,0
0.559322033898305,1,1,0,1,0,1,0,0,0,0,0,1,0
0.559322033898305,1,1,0,0,0,1,0,0,0,0,0,1,0
0.3389830508474576,1,1,0,0,0,1,1,0,0,0,0,0,0
0.23728813559322032,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2542372881355932,0,0,0,0,0,1,1,0,0,0,0,0,0
0.6610169491525424,1,1,0,1,0,1,1,0,0,0,0,0,0
0.6779661016949152,0,0,0,0,0,1,1,0,0,0,0,0,0
0.22033898305084748,1,1,0,0,0,1,0,0,0,0,1,0,0
0.7457627118644068,1,1,0,1,0,1,0,0,0,0,0,1,0
0.3728813559322034,1,1,0,0,0,1,0,0,0,0,0,1,0
0.47457627118644063,1,1,0,0,0,1,0,0,0,0,0,1,0
0.5254237288135594,1,1,0,1,1,1,1,0,0,0,0,0,0
0.6101694915254238,1,1,1,0,0,1,0,0,0,0,0,1,0
0.2542372881355932,0,0,0,0,1,1,1,0,0,0,0,0,0
0.3898305084745763,1,1,0,0,1,1,1,0,0,0,0,0,0
0.47457627118644063,0,0,0,0,1,1,1,0,0,0,0,0,0
0.47457627118644063,0,0,0,0,0,1,1,0,0,0,0,0,0
